G,R,2B,3B,HR,RBI,SO,BA,OPS,GDP,SF,Salary
159,121,30,1,29,102,137,0.298,0.828,10,4,5.685311956
138,79,30,3,24,90,105,0.298,0.895,8,5,7.092765114
143,92,29,0,32,116,148,0.296,0.87,5,2,6.552659967
144,90,34,1,23,79,113,0.295,0.863,13,7,7.217703851
158,102,36,2,31,99,136,0.294,0.879,13,5,7.331647203
140,83,37,3,30,92,90,0.294,0.917,10,5,5.71206719
152,85,32,1,18,73,106,0.291,0.813,13,6,5.685681726
159,91,37,5,30,59,125,0.291,0.878,2,4,5.677849668
131,76,27,3,14,58,78,0.29,0.784,16,4,7.07048872
146,88,32,2,13,63,96,0.289,0.777,11,5,5.729253011
148,89,24,0,39,98,158,0.287,0.916,16,5,6.924208273
148,92,42,3,28,99,150,0.286,0.867,18,5,7.203354825
138,89,26,2,34,80,168,0.286,0.912,8,4,5.690971794
141,77,25,6,11,57,120,0.282,0.731,12,4,6.296885097
130,99,31,0,42,97,153,0.282,0.975,5,4,6.95806654
142,70,31,1,28,92,117,0.281,0.905,11,4,5.916673855
148,104,34,1,26,92,116,0.279,0.85,16,6,6.984859717
156,101,37,1,38,113,143,0.279,0.89,13,4,6.577064954
138,58,33,2,8,60,75,0.279,0.741,9,3,6.013583868
146,117,32,1,31,83,91,0.278,0.839,9,6,7.331647203
153,92,31,2,28,106,102,0.278,0.836,10,11,7.39379511
156,85,30,1,22,84,133,0.278,0.755,15,8,6.569886369
151,87,22,0,27,87,98,0.278,0.832,12,6,6.916673855
144,92,35,1,33,104,145,0.277,0.877,16,3,5.701291148
162,97,42,3,10,74,103,0.277,0.711,12,12,6.788830128
144,70,34,1,29,98,152,0.277,0.85,7,3,5.687893757
134,63,27,2,17,73,97,0.276,0.766,2,6,6.736217791
141,62,28,2,21,84,102,0.276,0.785,8,6,6.4607419
141,94,32,3,20,69,170,0.274,0.815,9,5,5.680999461
160,89,37,0,9,54,114,0.273,0.715,10,4,6.228427716
161,88,24,0,48,121,170,0.273,0.859,14,4,7.030617208
139,64,19,0,35,97,157,0.273,0.87,22,3,7.195427456
133,69,26,2,6,50,70,0.273,0.699,8,4,6.206708467
149,75,42,3,16,67,135,0.271,0.795,10,0,6.371518715
137,65,27,2,9,48,75,0.271,0.701,10,1,6.470897512
158,74,25,3,8,53,90,0.271,0.67,11,2,6.217703851
156,101,35,0,39,111,113,0.271,0.911,17,11,6.61564386
158,86,29,1,4,48,121,0.271,0.696,13,4,5.687820204
150,76,25,4,13,78,91,0.27,0.761,8,3,7.23889315
151,53,28,0,12,65,99,0.269,0.732,13,2,6.786340063
150,98,34,2,21,69,141,0.269,0.835,13,4,5.672929504
152,97,35,2,33,98,118,0.269,0.826,4,6,6.55349602
150,84,24,1,10,57,94,0.268,0.711,16,5,7.092765114
145,68,27,4,11,49,106,0.267,0.732,11,1,5.685015914
149,79,31,4,18,65,152,0.266,0.78,5,8,5.67792493
152,94,33,7,21,71,90,0.266,0.8,8,3,5.683755477
152,111,32,5,36,103,87,0.266,0.893,13,5,6.870916365
129,73,23,1,36,99,127,0.266,0.938,7,4,7.314613864
138,80,18,2,31,87,184,0.265,0.813,12,3,7.013583868
144,86,32,2,25,73,135,0.265,0.835,9,2,7.183845584
140,79,21,1,32,86,126,0.265,0.832,14,9,7.030617208
132,66,30,3,9,48,74,0.265,0.713,10,1,6.61564386
162,115,39,2,45,102,146,0.265,0.873,9,3,7.17194636
122,93,29,3,23,58,86,0.264,0.854,5,5,7.078041857
157,75,24,3,18,72,162,0.264,0.771,13,3,5.6763417
139,69,32,3,11,44,137,0.264,0.752,7,3,5.681895222
147,60,22,2,16,63,97,0.263,0.732,16,5,5.722853829
144,74,33,1,14,61,157,0.263,0.787,6,2,6.761771895
134,64,25,4,17,73,129,0.263,0.782,8,2,6.916673855
140,77,32,1,25,73,156,0.262,0.818,9,1,5.687525867
152,81,27,3,37,94,127,0.262,0.863,20,4,5.747118163
159,91,41,3,11,56,95,0.262,0.695,4,4,5.691920115
157,74,27,3,2,47,60,0.262,0.622,10,1,6.217703851
135,68,18,0,29,86,121,0.262,0.82,12,5,6.937863154
152,86,30,2,30,117,143,0.261,0.831,28,10,7.120793838
131,49,23,0,22,93,93,0.261,0.788,11,7,6.569886369
