G,R,2B,3B,HR,RBI,SO,BA,OPS,GDP,SF,Salary
154,65,22,0,27,86,90,0.289,0.826,19,3,7.234342753
153,117,29,4,28,83,115,0.288,0.831,5,3,7.125198283
141,73,24,4,16,67,88,0.288,0.758,8,6,6.147862268
146,82,33,2,14,80,68,0.288,0.796,18,8,7.281725801
155,96,27,1,43,105,159,0.287,0.915,15,7,7.125198283
130,72,22,1,17,51,115,0.287,0.792,11,2,6.477380801
159,87,21,6,15,49,134,0.286,0.781,6,2,5.70170417
147,81,28,1,30,111,120,0.286,0.866,17,4,7.321492928
156,107,29,3,22,86,160,0.285,0.782,11,3,6.882160234
156,69,31,0,18,90,117,0.285,0.784,16,6,7.3186608
156,92,38,3,19,63,174,0.285,0.826,7,4,5.689102947
155,122,32,5,37,99,119,0.284,0.953,16,3,7.045396173
157,91,29,9,14,59,115,0.284,0.79,6,3,6.418402941
131,57,25,7,4,59,76,0.283,0.699,10,8,6.678040252
141,65,30,1,23,62,103,0.28,0.81,14,2,6.895524196
132,72,25,1,31,86,108,0.28,0.884,14,6,7.418402941
158,89,36,3,30,99,108,0.278,0.859,18,2,6.854131511
129,71,24,5,12,55,66,0.277,0.75,11,3,6.979070247
125,84,25,7,13,48,124,0.276,0.84,3,4,6.882160234
153,68,32,2,20,70,82,0.276,0.751,9,5,6.36378199
156,77,41,8,17,82,148,0.275,0.868,7,4,6.771461937
155,67,28,11,12,84,115,0.275,0.772,13,9,6.824168287
156,91,41,4,23,82,146,0.275,0.811,21,7,6.757221498
151,79,34,3,27,90,107,0.275,0.832,16,8,6.686640424
153,76,36,3,20,96,139,0.274,0.811,12,3,5.692308709
128,49,28,1,12,46,96,0.274,0.731,14,2,5.686150502
134,65,29,0,14,65,93,0.273,0.717,18,0,5.68557467
160,81,41,4,36,98,144,0.273,0.84,13,7,7.061855618
153,86,35,3,22,85,133,0.273,0.8,14,2,5.688764117
140,72,30,1,31,83,136,0.272,0.82,18,1,6.854131511
147,94,31,3,18,76,82,0.272,0.831,17,4,7.058251494
157,91,35,5,18,75,118,0.271,0.786,10,5,6.510549165
129,81,36,6,21,68,108,0.271,0.885,4,4,6.774950265
150,89,33,4,33,88,135,0.271,0.798,6,4,5.697322748
151,63,29,1,21,70,118,0.27,0.734,15,5,6.824168287
156,91,38,2,20,85,117,0.27,0.797,5,8,6.426228279
158,67,38,0,13,89,101,0.269,0.744,16,9,7.001292352
155,104,35,5,42,99,138,0.268,0.886,12,5,6.456191502
156,89,39,0,35,108,156,0.268,0.803,17,12,7.246241976
152,71,19,0,31,119,75,0.268,0.78,24,6,7.377010256
156,94,30,7,26,87,143,0.267,0.835,10,5,5.716660414
162,82,38,1,25,82,137,0.267,0.752,16,3,5.697156542
158,80,24,1,25,104,132,0.266,0.761,18,4,6.900756723
145,59,13,3,20,64,112,0.266,0.739,12,7,5.684506294
148,75,23,6,23,76,115,0.266,0.773,11,4,5.734945103
146,59,35,2,7,53,90,0.266,0.679,12,3,5.695907971
143,70,23,5,11,53,79,0.266,0.712,8,2,6.933312757
152,86,19,0,29,83,115,0.265,0.746,13,8,7.18319023
127,76,24,4,20,52,127,0.264,0.778,8,2,6.581130239
148,71,24,5,9,56,84,0.263,0.703,11,3,7.30423392
160,99,34,0,42,127,138,0.263,0.886,22,8,6.979070247
136,58,30,1,14,56,114,0.263,0.728,11,2,5.69348384
154,65,24,0,30,93,120,0.263,0.795,20,5,6.96137853
162,57,24,6,7,55,96,0.261,0.642,16,5,6.699229551
148,80,22,6,7,41,106,0.261,0.713,6,5,7.0930136
134,68,22,4,11,49,93,0.261,0.752,11,2,7.340798083
162,116,29,5,29,82,178,0.261,0.815,12,1,5.697073416
157,99,29,4,28,94,160,0.259,0.797,12,5,5.698318646
158,89,31,3,34,87,99,0.259,0.865,18,5,6.895524196
144,79,34,4,22,86,119,0.258,0.786,13,6,6.527459666
153,81,26,3,24,79,143,0.256,0.766,15,3,7.0930136
149,66,22,3,11,59,83,0.256,0.701,11,2,6.296088349
159,94,27,1,47,108,170,0.256,0.85,14,0,6.940491342
152,67,23,1,25,88,106,0.255,0.733,13,4,5.692980602
137,57,26,0,4,32,50,0.255,0.643,12,3,6.301289542
146,65,26,2,8,40,96,0.255,0.691,20,3,6.678040252
141,55,26,3,13,51,118,0.254,0.694,16,1,6.280100243
131,54,21,0,24,79,101,0.254,0.761,14,4,7.280100243
156,52,34,0,7,56,74,0.253,0.683,15,4,6.402316121
140,58,18,1,14,51,118,0.253,0.716,7,5,7.117372946
140,70,32,3,24,57,157,0.253,0.815,14,3,6.441468245
121,67,28,2,16,50,84,0.252,0.732,9,4,6.445196118
138,79,26,3,14,52,115,0.252,0.716,0,1,6.933312757
137,54,30,2,14,56,83,0.251,0.711,6,3,5.701292711
147,74,27,6,33,99,126,0.25,0.815,14,3,7.058251494
151,81,31,9,29,91,154,0.249,0.84,13,4,5.695324073
159,78,25,2,21,70,155,0.248,0.728,10,3,5.71546675
150,85,24,2,42,102,166,0.247,0.831,19,5,5.69881574
143,72,17,3,15,47,149,0.247,0.684,10,7,6.597118344
139,57,28,2,22,64,119,0.247,0.725,12,2,6.882160234
153,81,28,2,31,87,179,0.246,0.775,15,2,7.323953527
148,57,36,3,24,70,134,0.245,0.761,12,2,5.697488889
143,84,28,0,21,69,139,0.244,0.752,17,6,7.020462933
147,84,24,2,24,86,117,0.243,0.814,11,10,6.678040252
152,73,29,6,30,81,149,0.243,0.786,5,3,5.701375034
145,63,34,2,16,71,133,0.242,0.726,10,4,5.690877477
150,85,31,6,33,103,164,0.241,0.795,7,8,5.686640424
158,61,26,3,20,67,136,0.241,0.673,16,4,6.280100243
145,38,22,2,6,48,63,0.241,0.61,8,2,6.678040252
150,92,22,1,34,101,194,0.239,0.8,15,5,6.979070247
127,67,21,7,10,62,47,0.239,0.695,14,5,5.71546675
151,67,25,3,21,95,135,0.238,0.738,11,6,5.700880863
159,72,27,2,27,75,139,0.238,0.735,12,1,5.688764117
149,64,15,3,20,61,155,0.238,0.693,6,6,7.167998731
150,88,24,5,30,59,130,0.237,0.799,10,5,7.18319023
155,52,17,6,3,38,73,0.236,0.594,10,3,6.398199555
116,68,24,1,22,69,103,0.234,0.817,21,4,7.125198283
147,49,21,0,22,60,118,0.233,0.72,8,0,6.734945103
137,62,16,0,20,74,148,0.231,0.733,12,5,7.155161507
142,61,27,1,7,49,93,0.23,0.631,12,2,7.155161507
158,89,21,0,40,98,163,0.225,0.767,11,7,6.854131511
160,84,27,1,41,94,206,0.222,0.821,18,10,6.377010256
157,99,21,0,38,84,219,0.221,0.792,6,3,7.209519169
128,62,16,2,17,40,148,0.22,0.692,9,1,7.058251494
157,66,15,0,24,72,174,0.209,0.684,4,4,6.437708096
119,64,28,1,18,76,82,0.338,0.974,19,2,7.330309337
145,88,24,8,4,46,91,0.333,0.776,6,5,6.385826665
153,118,38,1,42,99,131,0.33,1.109,15,4,6.385826665
159,103,38,2,33,110,151,0.321,1.005,16,7,6.47924835
156,84,35,3,7,81,101,0.32,0.776,16,3,5.722686486
150,74,28,0,19,95,52,0.318,0.849,17,7,7.207340194
157,111,39,6,20,76,89,0.315,0.865,19,9,5.703472208
139,75,25,1,9,56,70,0.314,0.79,24,2,6.686856661
158,95,33,2,29,80,135,0.314,1,11,2,7.134014692
154,86,40,4,15,66,67,0.313,0.812,17,6,6.390148039
149,61,26,10,17,78,107,0.312,0.893,7,7,5.697156617
137,68,45,0,15,84,51,0.31,0.859,14,5,6.686856661
140,101,34,6,16,72,98,0.307,0.838,16,4,6.438905109
152,84,22,7,2,45,64,0.306,0.719,5,3,6.600670513
158,78,28,0,23,98,88,0.305,0.841,21,5,7.369001737
132,73,27,5,6,45,58,0.303,0.747,8,5,5.698004022
141,86,43,7,9,52,107,0.303,0.823,5,6,6.589946648
152,90,22,1,44,93,164,0.302,0.936,6,1,7.16758204
150,85,21,5,6,61,107,0.301,0.746,20,2,5.701797011
126,63,30,2,7,44,101,0.3,0.782,13,0,5.743761512
159,104,32,6,41,90,158,0.299,0.991,11,5,6.70804596
158,122,41,2,41,123,133,0.297,0.939,16,10,6.621355112
147,64,30,3,8,41,129,0.297,0.762,6,1,5.693322703
158,98,33,5,18,93,108,0.297,0.822,16,3,6.743761512
154,94,35,7,11,73,80,0.296,0.77,13,5,7.192006639
156,73,38,1,3,53,83,0.296,0.746,17,1,7.149254659
130,56,17,5,7,43,94,0.295,0.771,12,1,5.982423761
149,77,28,6,12,77,96,0.295,0.762,22,2,5.694604439
125,70,18,9,5,42,81,0.294,0.726,5,2,5.623995257
148,69,19,2,12,70,68,0.294,0.723,13,3,7.067067902
154,79,33,4,13,60,90,0.293,0.797,13,3,6.879981259
157,91,36,3,23,96,133,0.292,0.889,9,9,6.990052718
145,92,42,8,18,77,82,0.291,0.82,2,6,5.699272036
159,101,42,6,35,105,141,0.291,0.87,14,5,6.987886656
155,83,36,5,14,51,92,0.291,0.78,8,5,6.782897215
154,88,34,3,30,101,140,0.29,0.85,16,1,6.832984696
158,81,41,2,22,106,103,0.29,0.847,24,4,6.848224663
129,52,22,2,9,63,68,0.288,0.732,9,8,7.029279342
157,97,43,4,42,130,110,0.287,0.898,17,11,5.697580526
143,83,32,4,18,83,65,0.287,0.788,18,8,7.192006639
157,93,31,9,17,58,112,0.287,0.797,4,4,5.701797011
156,82,34,1,21,79,107,0.287,0.779,26,4,7.368097898
153,98,28,9,14,56,131,0.287,0.792,5,2,5.917305582
153,84,30,2,19,81,123,0.287,0.78,14,5,5.987886656
162,102,30,1,35,86,111,0.286,0.861,17,4,5.726667215
140,87,27,3,25,84,115,0.285,0.854,20,3,7.101830009
147,73,34,1,22,82,76,0.284,0.817,14,5,6.419250421
158,93,33,2,38,102,178,0.282,0.879,11,3,6.465007911
153,69,33,2,17,68,111,0.281,0.804,12,6,6.029279342
130,56,38,2,14,73,38,0.281,0.77,15,6,6.890976643
137,73,33,5,18,68,147,0.28,0.834,3,4,6.544189157
129,56,27,6,2,45,97,0.28,0.727,7,2,5.712572045
128,77,27,0,17,70,114,0.28,0.777,17,4,7.330309337
132,51,27,0,23,85,112,0.278,0.812,9,5,6.457708672
159,76,31,2,12,56,85,0.278,0.713,9,5,5.697156617
160,94,38,3,31,101,105,0.278,0.899,9,7,6.686856661
146,94,31,0,39,111,98,0.277,0.929,14,10,6.987886656
149,72,32,0,20,87,100,0.277,0.82,7,3,6.86294792
133,57,34,1,19,67,85,0.276,0.808,12,6,7.163977915
149,94,32,3,22,82,147,0.276,0.838,7,5,7.134014692
126,76,36,3,13,56,56,0.276,0.809,8,5,6.86294792
151,87,31,5,26,99,199,0.275,0.858,7,5,5.6613573
156,76,33,0,28,90,107,0.275,0.83,21,3,7.327477209
155,64,26,1,17,71,111,0.275,0.745,23,6,7.163977915
116,57,25,2,7,53,62,0.274,0.688,6,3,7.330309337
158,70,36,2,12,77,88,0.273,0.709,18,10,7.101830009
146,73,37,0,37,108,95,0.273,0.913,16,9,7.192006639
154,101,44,3,28,84,151,0.272,0.871,5,4,6.531954701
129,51,25,5,4,49,59,0.272,0.694,7,6,5.700746721
149,67,25,4,20,77,65,0.272,0.781,7,2,6.600670513
153,87,25,2,40,97,133,0.271,0.864,11,6,7.193361693
156,74,30,1,3,44,73,0.27,0.639,12,5,6.917305582
160,74,35,1,21,73,132,0.27,0.764,11,9,7.029279342
136,34,23,2,4,61,59,0.27,0.66,16,9,7.166863604
152,63,33,4,14,63,56,0.27,0.748,15,3,5.70087289
137,74,25,3,27,82,102,0.269,0.782,21,3,7.104328354
151,69,32,3,16,71,110,0.269,0.756,9,8,6.890976643
136,56,25,3,9,48,126,0.267,0.696,5,1,6.874377325
141,65,18,2,10,59,102,0.267,0.697,16,3,6.832984696
161,85,37,0,26,74,98,0.266,0.779,17,4,6.86294792
143,66,28,5,15,58,107,0.265,0.744,14,6,6.86294792
151,52,23,2,11,69,91,0.265,0.671,18,4,6.766037907
155,57,24,2,9,56,85,0.265,0.688,4,6,5.715346577
154,80,31,3,23,100,147,0.265,0.755,17,8,7.310105951
158,69,34,2,10,66,112,0.265,0.718,22,5,7.349614492
147,60,23,2,4,44,48,0.265,0.66,19,2,6.465007911
137,55,22,0,16,59,63,0.263,0.703,12,2,5.69846347
151,63,14,5,7,50,103,0.263,0.645,11,4,5.698427104
151,62,25,12,10,40,95,0.263,0.718,7,2,5.698680756
160,100,31,0,47,117,208,0.262,0.923,6,5,7.067067902
133,55,21,3,3,37,93,0.262,0.635,12,6,6.942129166
142,62,23,3,22,64,132,0.262,0.759,12,1,6.826735747
150,71,28,4,11,61,95,0.262,0.707,10,5,5.70389
136,58,21,3,18,71,97,0.261,0.783,9,8,5.697580526
149,64,29,3,16,60,144,0.26,0.706,8,4,6.27231739
142,52,25,0,21,70,82,0.26,0.706,23,5,6.255058385
151,94,26,3,16,66,135,0.259,0.742,8,3,7.134014692
157,98,33,2,26,70,151,0.259,0.821,3,4,7.192006639
156,74,29,1,11,62,135,0.259,0.693,17,4,7.134014692
160,69,34,2,7,62,78,0.258,0.667,14,9,7.218335578
148,76,20,5,3,47,75,0.257,0.614,10,5,6.47924835
148,66,17,2,13,59,141,0.257,0.675,13,4,5.706388345
142,57,16,5,6,50,93,0.257,0.616,14,2,5.715427913
155,65,23,7,15,45,132,0.257,0.715,16,1,5.695456833
159,78,23,2,26,83,164,0.256,0.731,6,4,5.718265125
143,65,33,4,21,84,119,0.256,0.782,18,4,6.489630386
153,83,35,6,9,52,121,0.256,0.701,5,2,5.70804596
154,42,33,6,15,73,152,0.255,0.721,21,6,5.70804596
157,82,43,1,35,89,137,0.255,0.806,19,7,6.64109917
140,73,24,8,5,26,145,0.254,0.688,11,0,5.699693885
151,63,28,1,15,65,101,0.251,0.713,26,4,5.987886656
150,85,26,3,26,81,159,0.251,0.79,10,5,7.134014692
153,108,29,3,40,114,106,0.25,0.913,19,8,7.134014692
148,64,25,6,16,41,94,0.25,0.784,8,1,6.386694387
156,102,29,8,17,46,154,0.25,0.757,4,3,6.965610262
147,65,33,2,14,62,131,0.25,0.709,5,1,5.724283159
151,83,22,1,33,86,145,0.25,0.842,17,7,7.310105951
154,54,33,0,10,62,68,0.249,0.642,18,6,6.987886656
135,58,25,5,23,73,145,0.247,0.743,10,5,6.890976643
153,66,20,11,27,88,119,0.246,0.748,13,5,5.709285032
137,43,31,1,17,75,68,0.246,0.72,23,5,7.029279342
126,43,25,1,10,47,73,0.245,0.658,14,2,7.288916652
135,67,33,0,27,73,138,0.244,0.838,12,3,6.611135947
152,74,35,4,22,86,124,0.244,0.742,28,4,6.669127894
157,85,22,0,40,95,72,0.244,0.787,15,3,7.369001737
142,60,29,1,13,54,149,0.242,0.696,8,2,5.650979521
139,67,22,0,22,81,105,0.24,0.702,14,5,7.009075956
129,76,23,2,23,77,106,0.24,0.787,22,5,6.832984696
152,55,23,5,6,52,120,0.239,0.649,5,3,5.693322703
157,101,39,4,28,77,148,0.236,0.751,10,8,6.294311684
156,69,27,2,19,62,187,0.233,0.674,9,4,7.029279342
135,68,15,1,26,94,97,0.232,0.756,7,7,7.218335578
154,72,29,2,19,85,122,0.231,0.752,20,5,6.766037907
129,53,29,1,23,77,138,0.229,0.72,11,3,7.385826665
128,41,16,0,15,68,101,0.229,0.616,16,8,6.538115009
138,49,15,2,14,63,158,0.229,0.64,5,2,5.667425384
147,59,27,5,4,43,144,0.227,0.587,9,3,5.697580526
157,72,35,4,26,87,145,0.226,0.729,10,9,7.067067902
145,47,24,2,19,58,148,0.226,0.711,12,3,6.800800013
146,47,15,3,17,54,81,0.225,0.685,7,2,6.42721935
144,71,24,3,13,41,86,0.224,0.643,12,1,7.029279342
151,67,19,1,26,54,170,0.21,0.763,5,2,5.695456833
158,85,47,3,7,59,53,0.341,0.83,20,5,6.297076809
151,87,33,0,32,103,42,0.335,0.974,17,6,7.069833027
156,94,45,2,20,97,56,0.327,0.89,16,5,6.689621786
148,79,33,1,19,77,74,0.324,0.879,15,5,7.223647892
135,62,32,3,17,82,60,0.319,0.86,7,8,6.689621786
145,80,35,2,36,107,131,0.317,0.964,14,4,7.221483735
143,77,38,7,13,52,81,0.315,0.837,6,2,5.700769146
157,77,37,2,14,82,68,0.314,0.836,19,3,7.371766862
146,89,38,6,25,83,115,0.314,0.952,9,6,6.85545941
159,101,52,1,25,109,117,0.313,0.895,21,11,7.335044055
147,72,28,2,22,89,69,0.311,0.854,16,8,7.013904241
151,71,13,7,2,28,49,0.306,0.686,11,1,6.280686393
147,94,39,8,5,37,65,0.302,0.771,6,3,6.803565138
139,81,35,3,16,73,67,0.301,0.808,19,5,6.893741768
133,55,29,4,5,53,108,0.301,0.751,9,3,5.727844424
153,73,53,2,13,69,71,0.301,0.837,13,2,6.357074739
123,76,26,10,1,35,83,0.3,0.763,4,2,5.699072682
148,92,37,9,16,69,124,0.296,0.863,7,1,6.291681777
157,85,33,5,7,75,110,0.293,0.744,15,2,6.961463392
134,58,33,1,14,65,100,0.292,0.777,18,2,6.689621786
147,85,37,1,16,82,113,0.292,0.849,9,3,7.291681777
135,73,29,6,13,56,131,0.291,0.808,5,0,6.38859179
155,59,27,0,9,69,80,0.29,0.716,21,6,6.768803032
143,79,37,2,9,57,86,0.289,0.734,15,5,6.746526637
148,92,24,12,2,34,107,0.289,0.704,3,3,5.70245901
142,55,34,5,15,68,114,0.288,0.779,9,7,5.703301483
154,82,27,3,19,72,96,0.288,0.775,3,5,5.690489507
162,93,43,4,18,78,145,0.288,0.847,18,3,6.896447662
145,89,31,1,37,105,170,0.288,0.95,16,2,6.803565138
131,37,34,0,3,61,46,0.288,0.727,9,7,6.587248877
150,77,38,3,25,89,145,0.287,0.852,21,6,7.312871076
160,56,29,1,4,76,102,0.287,0.712,31,7,6.032044467
153,111,39,6,21,83,104,0.287,0.824,11,5,6.422015546
143,94,33,4,9,51,73,0.287,0.726,4,4,7.194771764
157,115,39,9,36,111,184,0.287,0.939,6,10,5.990651781
155,101,27,0,35,103,96,0.286,0.928,18,6,7.136779817
142,71,33,2,17,83,89,0.286,0.765,18,7,7.136779817
140,89,28,1,32,78,116,0.286,0.913,8,4,6.087561794
132,63,22,6,1,43,49,0.285,0.71,5,1,6.473168068
162,74,34,5,3,50,83,0.285,0.694,12,4,6.467773036
133,47,23,1,15,66,75,0.285,0.757,18,3,6.992817843
148,95,34,4,23,73,141,0.284,0.833,10,3,6.838840898
144,94,30,6,9,54,137,0.284,0.764,9,2,5.69394316
128,64,35,0,13,71,84,0.283,0.817,10,1,7.194771764
130,50,31,5,7,57,78,0.282,0.752,5,3,5.699921742
143,62,26,4,12,58,80,0.282,0.733,20,4,7.032044467
159,88,30,2,29,96,133,0.281,0.78,11,7,7.107093479
142,62,29,1,13,59,99,0.28,0.77,8,3,5.69890267
131,54,30,8,4,54,93,0.28,0.709,19,5,7.104595134
157,68,26,3,16,73,85,0.279,0.739,16,7,6.90710573
156,77,30,4,7,68,62,0.278,0.7,10,8,6.922617896
135,61,25,3,21,74,120,0.278,0.785,13,6,5.731014471
135,72,33,0,7,53,75,0.278,0.712,14,6,7.051349622
120,60,27,2,4,55,96,0.277,0.732,12,2,7.352379617
162,106,29,10,20,74,130,0.277,0.777,13,3,7.19544982
116,61,21,4,8,35,108,0.276,0.774,6,1,6.85693912
159,83,41,0,27,116,112,0.276,0.817,13,11,7.332224783
146,53,20,10,1,34,86,0.276,0.664,21,6,6.333074462
155,81,27,1,14,50,84,0.276,0.729,10,2,7.16674304
161,100,40,4,17,92,79,0.275,0.727,20,5,7.197477657
155,68,13,7,7,40,114,0.274,0.689,4,2,6.429984475
139,40,22,0,12,69,76,0.274,0.712,12,6,6.467773036
157,88,22,1,29,80,139,0.273,0.795,9,4,5.768803032
158,82,35,2,15,74,81,0.273,0.713,21,4,6.969060574
127,90,31,3,17,58,104,0.272,0.776,5,2,5.694802298
158,99,33,2,8,59,111,0.272,0.75,3,9,6.397191962
156,83,37,0,20,90,100,0.272,0.811,20,2,7.221100703
159,89,37,1,28,105,71,0.272,0.79,28,9,7.352379617
146,83,34,3,10,52,84,0.272,0.749,8,6,6.835749821
151,57,32,0,9,66,96,0.271,0.702,21,8,6.893741768
159,87,32,2,40,108,140,0.271,0.859,17,5,6.893741768
149,71,27,5,16,70,93,0.271,0.747,9,7,7.315815454
149,74,26,3,11,58,98,0.271,0.735,2,3,6.731014471
137,74,25,3,23,76,88,0.271,0.809,12,2,6.750319626
131,54,35,1,9,58,93,0.27,0.716,12,6,6.546954282
154,77,34,2,29,102,171,0.27,0.833,10,8,7.144466646
155,74,36,6,11,78,85,0.27,0.746,8,9,7.16674304
153,72,26,5,23,85,164,0.269,0.772,12,5,5.69394316
134,54,30,1,8,63,113,0.269,0.698,22,5,7.291681777
128,75,27,2,34,98,82,0.268,0.901,18,1,6.944894291
141,56,28,0,9,52,104,0.268,0.682,12,4,6.865713045
159,71,27,4,25,96,118,0.268,0.788,12,3,5.723125959
149,59,15,5,5,42,97,0.267,0.663,13,2,5.690489507
135,68,30,6,19,81,113,0.266,0.777,17,3,7.032044467
156,87,34,1,19,74,126,0.266,0.783,11,4,7.024075537
136,55,31,5,12,48,87,0.266,0.807,9,4,6.643864295
154,71,28,2,25,85,185,0.264,0.757,6,3,6.893741768
157,72,35,1,2,41,96,0.263,0.647,21,7,6.801891554
153,43,27,0,10,58,159,0.263,0.653,23,2,6.667345391
142,59,27,0,35,104,95,0.263,0.873,18,6,7.16674304
157,61,38,0,21,75,112,0.263,0.779,19,4,7.18098348
150,64,22,4,9,40,100,0.261,0.677,10,2,6.667345391
152,89,36,6,22,100,128,0.26,0.751,13,7,6.990651781
134,53,25,1,10,55,124,0.26,0.704,10,5,6.69394316
150,57,28,2,17,70,85,0.26,0.692,22,3,6.194771764
131,56,19,1,10,48,58,0.26,0.705,13,6,5.658104734
148,50,31,4,11,66,140,0.259,0.7,7,7,5.689621786
140,73,19,0,26,92,108,0.259,0.817,13,8,7.069833027
137,33,18,0,7,39,60,0.258,0.664,15,2,6.689621786
136,69,40,2,14,80,109,0.258,0.751,12,5,6.361719644
148,87,25,8,17,58,134,0.256,0.749,3,6,6.738839808
154,71,30,6,4,47,144,0.256,0.655,15,9,6.689621786
145,47,19,1,4,50,87,0.256,0.617,15,4,7.069833027
154,73,26,3,24,91,183,0.255,0.743,17,3,6.803565138
158,93,31,2,29,98,130,0.255,0.798,16,4,5.689621786
149,56,27,2,12,55,89,0.255,0.693,14,5,5.702880451
153,74,27,0,30,92,135,0.253,0.83,9,4,6.20483309
162,83,26,1,22,91,133,0.253,0.724,15,9,6.865713045
142,56,24,8,8,41,119,0.252,0.7,7,3,6.619040711
135,50,21,3,6,66,68,0.252,0.632,7,7,6.689621786
152,72,25,8,6,48,117,0.25,0.648,1,4,5.689621786
136,59,29,3,6,50,79,0.249,0.676,14,6,6.710811085
149,68,33,4,16,51,113,0.249,0.776,8,1,6.223647892
153,54,20,10,10,69,129,0.246,0.713,4,10,5.738839808
126,68,21,3,9,47,66,0.246,0.699,3,6,6.865713045
146,59,33,2,15,53,116,0.246,0.72,10,4,6.429984475
146,61,14,6,5,31,70,0.246,0.614,13,2,5.718193038
143,64,27,4,14,65,90,0.245,0.692,10,2,6.221100703
144,70,37,2,22,69,122,0.244,0.756,13,6,5.692219766
133,52,26,3,10,60,92,0.244,0.654,16,7,7.032044467
123,64,30,2,10,36,108,0.244,0.697,10,1,5.704142324
146,44,18,4,7,46,60,0.244,0.617,25,2,6.291681777
135,55,20,1,13,49,122,0.243,0.7,17,1,6.968375387
136,40,23,0,13,72,97,0.243,0.699,12,6,6.990651781
138,78,22,4,17,55,100,0.243,0.717,6,3,7.032044467
123,58,19,1,13,40,131,0.242,0.714,9,4,7.136779817
156,112,33,1,23,71,129,0.242,0.762,8,8,5.723045541
146,74,31,4,14,61,108,0.241,0.694,15,6,6.990651781
144,60,28,1,12,46,138,0.24,0.66,11,7,5.704142324
129,61,25,1,6,41,100,0.24,0.64,15,2,6.467773036
144,47,22,1,10,63,91,0.235,0.634,9,4,5.731014471
147,70,23,2,25,81,153,0.234,0.772,6,3,6.608699878
140,57,15,1,23,75,77,0.232,0.692,16,4,7.221100703
152,68,25,0,27,85,124,0.231,0.792,13,3,6.534719826
145,65,22,3,21,58,122,0.231,0.686,19,3,6.437809813
145,68,21,1,37,88,182,0.227,0.799,12,4,5.698221957
155,73,27,2,20,66,141,0.227,0.714,1,5,7.104595134
153,65,18,1,23,95,190,0.223,0.69,10,5,7.38859179
126,43,21,2,14,56,151,0.222,0.651,11,3,6.379817866
147,48,18,5,4,38,79,0.221,0.568,13,0,5.768803032
131,49,18,0,22,64,159,0.219,0.752,5,4,7.16674304
137,71,21,1,18,66,149,0.217,0.654,8,5,6.990651781
123,56,14,0,22,62,109,0.216,0.711,13,4,7.342834299
126,41,20,1,8,46,113,0.215,0.594,14,2,6.429984475
157,51,17,0,16,57,125,0.215,0.586,23,7,5.698307105
141,67,19,5,12,35,173,0.208,0.62,6,2,7.119374066
127,65,16,0,26,72,173,0.196,0.704,2,5,7.005592131
148,103,26,1,44,137,94,0.348,1.078,19,2,7.321858632
130,74,31,3,20,84,100,0.331,0.919,13,3,7.014668328
113,62,35,0,11,47,89,0.324,0.88,7,2,7.356149959
157,109,39,9,27,97,136,0.323,0.988,8,8,5.701049205
142,54,34,0,12,68,116,0.321,0.816,20,2,6.352840132
147,89,27,2,23,109,121,0.319,0.897,10,5,5.741667056
136,68,44,0,12,80,55,0.319,0.836,14,3,7.172455976
157,126,55,7,11,78,98,0.318,0.873,4,7,5.704442148
129,84,24,0,25,82,101,0.318,0.931,9,5,7.197599012
157,97,38,5,21,84,101,0.317,0.911,13,4,6.660931982
161,88,32,0,30,92,78,0.315,0.88,17,2,7.197599012
134,71,29,2,13,97,100,0.315,0.83,12,5,6.236517078
160,81,41,0,27,107,85,0.314,0.899,18,5,7.169570288
126,72,27,0,25,82,85,0.312,0.931,9,5,6.99456341
137,84,38,2,30,103,88,0.309,0.959,21,5,7.171015529
162,101,30,3,24,73,138,0.305,0.926,15,6,7.225203412
144,90,37,5,17,84,113,0.304,0.8,11,10,7.07983886
134,77,29,0,12,66,93,0.303,0.831,10,8,5.696770407
160,103,36,3,36,125,145,0.302,0.952,25,5,5.692449033
159,86,34,3,17,79,100,0.302,0.801,15,4,5.716318535
158,89,37,3,24,93,110,0.301,0.883,15,6,5.685885264
159,68,36,0,14,83,62,0.301,0.785,23,8,7.107422381
160,91,42,2,9,84,75,0.301,0.787,24,7,7.004202894
141,103,31,1,22,94,86,0.3,0.879,31,4,7.22392795
158,54,33,0,13,75,77,0.299,0.778,16,4,6.294509025
134,92,31,8,9,53,92,0.298,0.781,12,2,6.947721538
122,55,21,4,13,54,89,0.297,0.775,16,3,6.935487082
127,57,23,3,2,31,34,0.297,0.726,13,3,6.89792407
145,79,30,3,24,84,90,0.296,0.83,12,6,7.109089541
148,61,34,1,15,72,70,0.294,0.821,15,7,6.99456341
146,74,20,10,12,49,84,0.294,0.752,17,2,5.685444132
122,82,26,2,15,61,75,0.294,0.801,5,2,7.107422381
157,69,32,0,22,100,98,0.293,0.803,12,10,7.333069581
138,48,25,3,13,79,63,0.292,0.757,13,5,6.014668328
147,75,35,5,24,88,144,0.291,0.847,11,7,5.838577069
154,80,45,2,15,75,91,0.29,0.791,17,4,6.373690271
150,76,39,4,17,67,125,0.289,0.841,4,3,5.718982298
162,62,27,0,15,82,102,0.289,0.787,28,4,6.896569016
143,67,26,1,23,67,103,0.288,0.854,20,4,6.692449033
155,80,20,3,8,37,40,0.286,0.726,9,3,6.313105513
160,103,42,1,53,138,199,0.286,1.004,4,7,6.518523836
161,92,38,4,13,78,95,0.286,0.733,13,5,6.459604899
